raw_phrase,clean_phrase
married_or_remarried_living_with_the_children_of_this_marriage_and_of_a_previous_marriage,mar_with_childr_both_marr
single_living_with_a_partner_living_with_the_children_of_this_union_and_of_a_previous_union,partner_childr_both_unions
married_or_remarried_living_without_children,mar_no_childr
married_or_remarried_living_with_the_children_of_this_marriage,mar_childr_this_marr
married_or_remarried_living_with_the_children_of_a_previous_marriage,mar_childr_prev_marr
single_living_with_a_partner_living_without_children,partner_no_childr
single_living_with_a_partner_living_with_the_children_of_this_union,partner_childr_this_union
single_living_with_a_partner_living_with_the_children_of_a_previous_union,partner_childr_prev_union
single_living_without_children,sing_no_childr
single_living_with_children,sing_childr
divorced_or_separated_living_without_children,div_no_childr
divorced_or_separated_living_with_children,div_childr
widow_living_without_children,wid_no_childr
widow_living_with_children,wid_childr
it_is_owned_outright_by_you/_your_household,owned
it_is_owned_by_you/_your_household_with_a_mortgage,mortgage
you/_your_household_are_tenants_or_subtenants_paying_rent_at_the_prevailing_or_market_rate,tenants_market_rate
your_accommodation_is_rented_at_a_reduced_rate_(lower_price_that_the_market_price),tenants_reduced_rate
your_accommodation_is_provided_free,acc_free
no_change/does_not_impact_your_life_(spontaneous),sp
no_you_have_never_tried_to_watch_audiovisual_content_through_an_online_service,no_didnt_watch
no_you_have_watched_audiovisual_content_through_an_online_service_but_you_have_never_faced_any_problem_to_access_it,no_probl
urgent,urg
personally,pers
family_members,fam_mem
close_relatives,rel
friends_or_acquaintances,fr_acq
dont_know,dnk
totally_agree,tot_agr
tend_to_agree,tend_agr
tend_to_disagree,tend_disagr
totally_disagree,tot_disagr
total,tot
important,imp
very,v
fairly,fair
easier,eas
difficult,diff
significant,sign
significantly,sign
yes,y
no,n
not,n
for_tv_programmes,tv
for_films_or_series,film_ser
for_sports_content,sport
well,w
before,bef
after,aft
other,oth
(spontaneous),sp
(re)married,married
single_living_with_a_partner,w_partner
single,sing
divorced_or_separated,div
widow,wid
refusal,ref
household,hshld
without,no
studying,study
full-time,fll-tm
eduaction,edu
pre-primary_education_(include_no_education),pre-prime_edu_or_no
primary_education,prime_edu
lower_secondary_education,low_sec_edu
upper_secondary_education,upp_sec_edu
post-secondary_non_tertiary_(including_pre-vocational_or_vocational_education),post_sec_edu
short-cycle_tertiary,tert_edu
bachelor_or_eqxuivalent,bachelor_edu
master_or_equivalent,master_edu
equivalent,eqv
doctoral_or_equivalent,phd_edu
none_of_the_above_/_non_binary_/_do_not_recognize_yourself_in_above_categories,non_binary
responsible_for_ordinary_shopping_and_looking_after_the_home_or_without_any_current_occupation_not_working,hshld_work
unemployed_or_temporarily_not_working,unempl
retired_or_unable_to_work_through_illness,retired_disabled
self-employed,slf_emp
self-employed_professional_(lawyer_medical_practitioner_accountant_architect_etc.),slf_emp_prof
owner_of_a_shop_craftsmen_other_self-employed_person,slf_emp_owner
business_proprietors_owner_(full_or_partner)_of_a_company,comp_owner
employed_professional_(employed_doctor_lawyer_accountant_architect),emp_prof
employed_position_general_management_director_or_top_management_(managing_directors_director_general_other_director),emp_prof_mngr
employed_position_middle_management_other_management_(department_head_junior_manager_teacher_technician),emp_prof_mid_mngr
employed_position_working_mainly_at_a_desk,emp_desk
employed_position_not_at_a_desk_but_travelling_(salesmen_driver_etc.),emp_travel
employed_position_not_at_a_desk_but_in_a_service_job_(hospital_restaurant_police_fireman_etc.),emp_srvc
employed_position_supervisor,emp_sprvsr
employed_position_skilled_manual_worker,emp_manual
other_employed_(unskilled)_manual_worker_servant,emp_unskilled
workers,work
area,ar
large,lar
small,smll
never,nev
