table_code,name
isoc_ci_in_h, Households -- Level of internet access
isoc_ci_ifp_iu, Individuals -- internet use
isoc_ci_ifp_fu, Individuals -- frequency of internet use
isoc_ci_ac_i, Individuals -- internet activities
isoc_iiu_iuprb, Individuals -- difficulties encountered when using the internet
isoc_iiu_iuxr, Individuals -- reasons for not using the internet
isoc_ci_hm, Individuals -- encountering hostile or degrading online messages
isoc_ciegi_ac, E-government activities of individuals via websites
isoc_ciegi_pb22, Problems experienced when using e-government websites
isoc_eid_ieid, Use of electronic identification (eID)
isoc_cisci_ip20, Identification procedures used for online services (2020 onwards)
isoc_cisci_prv20, Privacy and protection of personal data (2020 onwards)
isoc_ai_iaiu, Individuals -- use of generative AI tools
isoc_ai_iaiuxr, Individuals -- reasons for not using generative AI tools 
isoc_sk_dskl_i21, Individuals' level of digital skills (from 2021 onwards)
isoc_sk_cskl_i21, Individuals' level of computer skills (2021 onwards)
isoc_sk_edic_i21, Evaluating data information and digital content (2021 onwards)
isoc_cbs, Broadband internet coverage by speed
isoc_pbo, Mobile and fixed broadband internet prices by type of offer (least expensive)
isoc_tf, Fixed broadband internet traffic
tin00134, Level of internet access -- households
tin00028, Internet use by individuals
tin00092, Individuals frequently using the internet
tin00091, Individuals regularly using the internet
tin00093, Individuals who have never used the internet
tin00094, Individuals using the internet for sending/receiving e-mails
tin00095, Individuals using the internet for finding information about goods and services
tin00127, Individuals using the internet for participating in social networks
tin00129, Individuals using the internet for taking part in online consultations or voting
tin00103, Individuals using the internet for doing an online course
tin00101, Individuals using the internet for seeking health-related information
tin00099, Individuals using the internet for internet banking
tin00098, Individuals using the internet for selling goods or services
tin00102, Individuals using the internet for looking for a job or sending a job application
