STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_is,Information society indicator,ind_type,Individual type,unit,Unit of measure,geo,Geopolitical entity (reporting),year,Time,value,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AL,Albania,2019,,7.33,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2015,,32.79,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2016,,34.59,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2017,,36.22,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,AT,Austria,2019,,39.22,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BA,Bosnia and Herzegovina,2019,,7.79,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2015,,31.13,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2016,,31.53,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2017,,30.99,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,BE,Belgium,2019,,34.18,,,,,
