STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,ind_type,Individual type,indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),year,Time,value,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SK_DSKL_I21(1.0),Individuals' level of digital skills (from 2021 onwards),A,Annual,IND_TOTAL,All individuals,I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,AL,Albania,2021,,23.80,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I21(1.0),Individuals' level of digital skills (from 2021 onwards),A,Annual,IND_TOTAL,All individuals,I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,AL,Albania,2023,,23.32,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I21(1.0),Individuals' level of digital skills (from 2021 onwards),A,Annual,IND_TOTAL,All individuals,I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,AL,Albania,2025,,27.65,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I21(1.0),Individuals' level of digital skills (from 2021 onwards),A,Annual,IND_TOTAL,All individuals,I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,AT,Austria,2021,,63.33,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I21(1.0),Individuals' level of digital skills (from 2021 onwards),A,Annual,IND_TOTAL,All individuals,I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,AT,Austria,2023,,64.68,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I21(1.0),Individuals' level of digital skills (from 2021 onwards),A,Annual,IND_TOTAL,All individuals,I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,AT,Austria,2025,,69.77,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I21(1.0),Individuals' level of digital skills (from 2021 onwards),A,Annual,IND_TOTAL,All individuals,I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,BA,Bosnia and Herzegovina,2021,,34.65,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I21(1.0),Individuals' level of digital skills (from 2021 onwards),A,Annual,IND_TOTAL,All individuals,I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,BA,Bosnia and Herzegovina,2023,,30.08,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I21(1.0),Individuals' level of digital skills (from 2021 onwards),A,Annual,IND_TOTAL,All individuals,I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,BA,Bosnia and Herzegovina,2025,,36.25,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I21(1.0),Individuals' level of digital skills (from 2021 onwards),A,Annual,IND_TOTAL,All individuals,I_DSK2_BAB,Individuals with basic or above basic overall digital skills (all five component indicators are at basic or above basic level),PC_IND,Percentage of individuals,BE,Belgium,2021,,54.23,,,,,
